Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20241024|A|336605|190|562413|B,Q,N
20241024|AA|643960|1762|1410142|B,Q,N
20241024|AAA|230|0|6345|Q
20241024|AAAU|815807|1240|1792633|B,Q,N
20241024|AACG|19969|1000|24993|Q,N
20241024|AACT|406|0|42881|Q
20241024|AADI|19551|0|28814|Q,N
20241024|AADR|10|0|80|Q
20241024|AAL|12664730|127976|30669761|B,Q,N
20241024|AAME|208|0|276|Q
20241024|AAOI|288099|1563|702067|B,Q,N
20241024|AAON|40589|66|71553|B,Q,N
20241024|AAP|555322|2098|889622|B,Q,N
20241024|AAPB|30928|0|51963|Q,N
20241024|AAPD|49389|0|108019|B,Q,N
20241024|AAPL|4410340|28902|10696737|B,Q,N
20241024|AAPU|39338|287|111994|B,Q,N
20241024|AAPX|1386|0|6292|Q,N
20241024|AAPY|183|0|493|Q
20241024|AAT|39306|0|88446|B,Q,N
20241024|AAXJ|107654|0|238485|B,Q,N
20241024|AB|68865|324|227389|B,Q,N
20241024|ABAT|45014|3050|131829|Q,N
20241024|ABBV|561808|508|3680592|B,Q,N
20241024|ABCB|79829|29|222266|B,Q,N
20241024|ABCL|1442687|0|2220146|B,Q,N
20241024|ABCS|603|0|1603|Q
20241024|ABEO|32679|0|95721|Q,N
20241024|ABEQ|2696|0|5997|Q
20241024|ABEV|5564356|3931|10820917|B,Q,N
20241024|ABG|91279|0|99168|B,Q,N
20241024|ABL|28727|0|94420|B,Q,N
20241024|ABLLW|637|0|1468|Q
20241024|ABLV|3054|0|9548|Q
20241024|ABM|47918|0|145488|Q,N
20241024|ABNB|477760|329|932145|B,Q,N
20241024|ABNY|785|0|3228|Q,N
20241024|ABOS|25754|175|29560|Q,N
20241024|ABR|490335|1758|1091900|B,Q,N
20241024|ABRpD|517|0|2947|Q
20241024|ABRpE|310|0|365|Q
20241024|ABRpF|2589|0|3389|Q
20241024|ABSI|218387|839|351587|B,Q,N
20241024|ABT|691675|281|1341646|B,Q,N
20241024|ABTS|6495|0|8180|Q
20241024|ABUS|64973|0|105006|B,Q,N
20241024|ABVC|535673|301|913714|B,Q,N
20241024|ABVE|2521|0|31791|Q,N
20241024|ABVEW|685|264|2920|Q
20241024|ABVX|24525|0|356448|B,Q,N
20241024|AC|1028|0|1688|Q,N
20241024|ACA|33582|0|55858|Q,N
20241024|ACAD|108244|82|249454|B,Q,N
20241024|ACB|359622|24548|592100|B,Q,N
20241024|ACCD|155256|715|479397|B,Q,N
20241024|ACCO|56061|18|130049|Q,N
20241024|ACDC|158626|0|249672|B,Q,N
20241024|ACEL|9254|0|22423|Q,N
20241024|ACES|31312|0|1313442|B,Q,N
20241024|ACET|64963|474|119262|B,Q,N
20241024|ACGL|193743|157|454523|B,Q,N
20241024|ACGLN|3625|0|7418|Q
20241024|ACGLO|4833|0|7677|Q
20241024|ACHC|234330|299|667955|B,Q,N
20241024|ACHL|577|0|10541|Q,N
20241024|ACHR|4288922|17678|7157334|B,Q,N
20241024|ACHR/WS|21345|3987|102221|Q,N
20241024|ACHV|9806|0|14311|Q,N
20241024|ACI|381912|840|635451|B,Q,N
20241024|ACIC|101914|1042|505072|B,Q,N
20241024|ACIO|73962|103|110050|Q
20241024|ACIU|25414|0|36632|Q,N
20241024|ACIW|33418|5|117888|B,Q,N
20241024|ACLS|49259|69|252559|B,Q,N
20241024|ACLX|96104|19|173507|B,Q,N
20241024|ACM|76760|83|138343|B,Q,N
20241024|ACMR|185754|3557|400878|B,Q,N
20241024|ACN|317807|908|629435|B,Q,N
20241024|ACNB|1395|0|2241|Q,N
20241024|ACNT|7169|0|14242|B,Q
20241024|ACON|301231|31315|667685|Q,N
20241024|ACONW|8|0|107|Q
20241024|ACP|138471|0|372339|Q,N
20241024|ACR|2626|0|6929|Q
20241024|ACRE|66033|100|131525|B,Q,N
20241024|ACRpC|3974|0|6902|Q,N
20241024|ACRpD|158|0|259|Q
20241024|ACRS|119281|0|165944|Q,N
20241024|ACRV|9956|251|13267|B,Q,N
20241024|ACSI|1|0|3|Q
20241024|ACST|2791|1223|110084|Q,N
20241024|ACT|32313|0|52445|B,Q,N
20241024|ACTG|9633|0|29102|Q
20241024|ACTU|20022|0|36621|Q,N
20241024|ACTV|2022|0|8663|Q
20241024|ACU|2750|0|7805|Q
20241024|ACV|6749|0|14874|Q
20241024|ACVA|136510|3118|378225|Q,N
20241024|ACVF|1005|0|1279|Q,N
20241024|ACWI|135316|160|302315|B,Q,N
20241024|ACWV|3051|0|32046|Q,N
20241024|ACWX|142614|18|354456|B,Q,N
20241024|ACXP|16523|187|36307|Q,N
20241024|ADAG|5642|1964|208977|Q
20241024|ADAP|444613|18438|771008|Q,N
20241024|ADBE|216438|369|709381|B,Q,N
20241024|ADC|64139|122|400226|B,Q,N
20241024|ADCpA|800|0|3526|Q
20241024|ADCT|67563|0|239958|Q,N
20241024|ADD|622377|54473|1090159|B,Q,N
20241024|ADEA|21194|0|57169|Q,N
20241024|ADFI|2598|0|6344|Q
20241024|ADGM|10934|0|22223|Q,N
20241024|ADI|375667|141|805353|B,Q,N
20241024|ADIL|38843|5378|67511|Q
20241024|ADIV|40|0|40|N
