Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20251113|A|305199|200|674608|B,Q,N
20251113|AA|1195804|962|2195868|B,Q,N
20251113|AAA|5274|0|7950|Q
20251113|AAAA|4|0|139|Q
20251113|AAAU|168844|0|311998|B,Q,N
20251113|AACB|2|0|37|Q
20251113|AACBU|7|0|7|Q
20251113|AACG|327|1|5681|Q
20251113|AADR|720|0|821|Q
20251113|AAL|11698058|5246|23309229|B,Q,N
20251113|AALG|387|0|1273|Q
20251113|AAM|900|0|3904|Q
20251113|AAME|4094|0|13837|Q,N
20251113|AAMI|20326|0|41980|Q,N
20251113|AAM/WS|1200|0|17361|Q
20251113|AAOI|1003736|95191|2979498|B,Q,N
20251113|AAON|343708|18604|504873|B,Q,N
20251113|AAP|362435|1205|482835|B,Q,N
20251113|AAPB|13197|0|61745|Q
20251113|AAPD|317838|0|1085645|B,Q,N
20251113|AAPG|1503|0|2234|Q,N
20251113|AAPL|6619888|29327|14360752|B,Q,N
20251113|AAPR|931|0|3377|Q
20251113|AAPU|237381|1530|547316|B,Q,N
20251113|AAPW|3529|192|9333|B,Q,N
20251113|AAPX|15635|0|23492|Q,N
20251113|AAPY|954|0|2452|Q
20251113|AARD|13819|0|30375|B,Q,N
20251113|AAT|58411|0|79572|Q,N
20251113|AAUC|123423|0|190100|B,Q,N
20251113|AAVM|14|0|16|Q,N
20251113|AAXJ|41012|0|117925|Q,N
20251113|AB|19119|721|57793|Q,N
20251113|ABAT|2608781|311700|4973447|B,Q,N
20251113|ABBV|1309629|16315|3196032|B,Q,N
20251113|ABCB|58462|0|132019|B,Q,N
20251113|ABCL|1303546|24783|3575238|B,Q,N
20251113|ABCS|2802|0|3012|Q
20251113|ABEO|768375|290|1816633|B,Q,N
20251113|ABEQ|1828|0|3768|Q
20251113|ABEV|5485433|1000|12983432|B,Q,N
20251113|ABFL|31048|0|43598|Q,N
20251113|ABG|25173|0|42135|B,Q,N
20251113|ABI|3|0|19|Q
20251113|ABIG|2|0|102|Q
20251113|ABL|180159|0|274494|B,Q,N
20251113|ABLD|1281|0|3014|Q
20251113|ABLLL|7498|0|10877|B,Q
20251113|ABLV|1847|0|5720|B,Q,N
20251113|ABLVW|40|0|27831|Q
20251113|ABM|57566|0|107685|B,Q,N
20251113|ABNB|456354|2062|1270091|B,Q,N
20251113|ABNY|1289|0|2895|Q,N
20251113|ABOS|21549|0|94126|Q,N
20251113|ABP|1766|0|6439|B,Q,N
20251113|ABR|1185948|0|1563819|B,Q,N
20251113|ABRpD|5354|0|11268|Q
