Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20250919|A|236470|0|495256|B,Q,N
20250919|AA|763877|1023|2071455|B,Q,N
20250919|AAA|109|0|5380|Q,N
20250919|AAAA|626|0|1246|Q
20250919|AAAU|358093|0|971263|B,Q,N
20250919|AACB|483|0|583|Q
20250919|AACBR|8842|0|11899|Q
20250919|AACG|6983|0|16481|Q,N
20250919|AACI|8|0|408|Q
20250919|AACIW|1|0|25110|Q
20250919|AACT|66507|2687|141199|Q,N
20250919|AACT/WS|22203|0|69602|Q
20250919|AADR|2172|0|3066|Q
20250919|AAL|28621435|50839|62003446|B,Q,N
20250919|AALG|1206|0|2344|Q
20250919|AAME|16638|0|36040|Q
20250919|AAMI|46908|591|83718|Q,N
20250919|AAOI|736278|2180|1448120|B,Q,N
20250919|AAON|626946|0|778974|B,Q,N
20250919|AAP|472712|38|761610|B,Q,N
20250919|AAPB|93858|1614|192807|B,Q,N
20250919|AAPD|270541|0|766762|B,Q,N
20250919|AAPG|437|0|754|Q,N
20250919|AAPL|18438111|67460|35726549|B,Q,N
20250919|AAPR|682|0|1144|Q
20250919|AAPU|1377950|3670|2649370|B,Q,N
20250919|AAPW|5857|0|17285|B,Q,N
20250919|AAPX|83389|0|155164|B,Q,N
20250919|AAPY|759|0|1025|Q
20250919|AARD|27096|0|37059|B,Q,N
20250919|AAT|56346|0|85440|Q,N
20250919|AAUC|25547|0|43848|B,Q,N
20250919|AAVM|10|0|3547|Q,N
20250919|AAXJ|46822|89|113125|Q
20250919|AB|29194|0|74998|Q,N
20250919|ABAT|4149119|51352|8016758|B,Q,N
20250919|ABBV|815518|15443|1666743|B,Q,N
20250919|ABCB|127650|0|156826|B,Q,N
20250919|ABCL|1282768|5|2836541|B,Q,N
20250919|ABCS|2162|0|2426|Q
20250919|ABEO|386114|486|719530|B,Q,N
20250919|ABEQ|6215|0|9820|Q
20250919|ABEV|13956614|21413|24935639|B,Q,N
20250919|ABFL|821|0|15859|Q
20250919|ABG|32869|0|38972|B,Q,N
20250919|ABI|6|0|11|Q
20250919|ABIG|157|0|314|Q
20250919|ABL|125092|0|277558|Q,N
20250919|ABLD|1251|0|1733|Q
20250919|ABLG|1|0|12|Q
20250919|ABLLL|2065|0|3289|Q
20250919|ABLV|229|0|721|Q
20250919|ABLVW|12|0|4479|Q
20250919|ABM|94486|110|148393|Q,N
20250919|ABNB|536414|360|1655050|B,Q,N
20250919|ABNY|3846|0|15648|Q,N
20250919|ABOS|17231|0|72581|Q,N
20250919|ABP|3388912|15119|5789905|B,Q,N
20250919|ABPWW|21|0|116|Q
20250919|ABR|575471|1934|1112205|B,Q,N
20250919|ABRpD|796|0|1767|Q
20250919|ABRpE|948|0|1117|Q
20250919|ABRpF|6|0|1943|Q
20250919|ABSI|980499|26017|1854099|B,Q,N
20250919|ABT|1283126|1029|2379570|B,Q,N
20250919|ABTC|1269002|2230|2100804|B,Q,N
20250919|ABTS|44365|0|88175|B,Q,N
20250919|ABUS|124338|0|386415|B,Q,N
20250919|ABVC|5887|0|35568|Q,N
20250919|ABVE|1037867|7200|1740516|B,Q,N
20250919|ABVEW|26330|0|95448|Q
20250919|ABVX|101869|100|207978|B,Q,N
20250919|ABXB|1|0|20|Q
20250919|ACA|32987|0|51813|Q,N
20250919|ACAD|177131|200|310627|B,Q,N
20250919|ACB|231754|410|390208|B,Q,N
20250919|ACCO|159257|0|227560|B,Q,N
20250919|ACCS|1030|0|1405|Q
20250919|ACDC|493579|2233|1542088|B,Q,N
20250919|ACEL|23555|0|51411|Q,N
20250919|ACES|12927|0|17414|B,Q,N
20250919|ACET|105760|3200|341783|Q,N
20250919|ACFN|4037|0|8303|Q,N
20250919|ACGL|226871|22|499459|B,Q,N
20250919|ACGLN|3215|0|7207|Q,N
20250919|ACGLO|5871|0|9026|Q
20250919|ACHC|1004453|323|1532846|B,Q,N
20250919|ACHR|11106363|32579|29515579|B,Q,N
20250919|ACHR/WS|24181|0|75019|Q
20250919|ACHV|250169|4265|629692|Q,N
20250919|ACI|1792009|3474|2576451|B,Q,N
20250919|ACIC|14648|0|83973|Q,N
20250919|ACIO|158784|0|170791|Q,N
20250919|ACIU|38315|0|62315|Q,N
20250919|ACIW|125385|249|268596|B,Q,N
20250919|ACKY|38580|0|71461|B,Q,N
20250919|ACLC|1932|0|2300|Q
20250919|ACLO|3|0|154|Q
20250919|ACLS|147697|0|200548|B,Q,N
20250919|ACLX|57382|0|85442|B,Q,N
20250919|ACM|354539|0|460629|B,Q,N
20250919|ACMR|123410|1331|641524|B,Q,N
20250919|ACN|922179|881|2253734|B,Q,N
20250919|ACNB|2590|0|2920|Q,N
20250919|ACNT|8049|0|23133|Q,N
20250919|ACOG|89494|22029|146524|B,Q,N
20250919|ACON|30146|183|52371|B,Q,N
20250919|ACONW|38|0|1676|Q
20250919|ACP|82463|230|293694|Q,N
20250919|ACPpA|1|0|1050|Q
20250919|ACR|4690|0|7762|Q,N
20250919|ACRE|47633|0|130869|Q,N
20250919|ACRpC|315|0|930|Q
20250919|ACRpD|265|0|1035|Q
20250919|ACRS|211180|0|344530|Q,N
20250919|ACRV|52594|679|153383|Q,N
20250919|ACSI|831|0|841|B,Q
20250919|ACT|109326|0|131137|Q,N
20250919|ACTG|11911|0|34943|Q,N
20250919|ACTU|9702|0|13090|B,Q,N
20250919|ACU|6894|1578|12968|Q,N
20250919|ACV|12198|0|35890|Q,N
20250919|ACVA|183886|15|624109|B,Q,N
20250919|ACVF|1905|0|2456|Q
20250919|ACWI|224005|0|416532|B,Q,N
20250919|ACWV|24615|0|43628|Q,N
20250919|ACWX|145949|343|366933|Q,N
20250919|ACXP|66635|508|127023|B,Q,N
20250919|AD|37077|0|66405|B,Q,N
20250919|ADAG|2220|0|22145|Q
20250919|ADAM|133656|216|239928|Q,N
20250919|ADAMG|8052|0|12290|B,Q
20250919|ADAMH|2006|0|3469|B,Q,N
20250919|ADAMI|2005|0|3180|Q
20250919|ADAML|1392|0|3087|B,Q
20250919|ADAMM|1394|0|4417|Q
20250919|ADAMN|980|0|3160|Q,N
20250919|ADAMZ|3682|0|5869|Q
20250919|ADAP|139721811|9798538|252290511|B,Q,N
20250919|ADBE|787007|439|1578117|B,Q,N
20250919|ADBG|169951|0|314153|B,Q,N
20250919|ADC|89041|0|184546|B,Q,N
20250919|ADCpA|785|0|1263|Q
20250919|ADCT|271708|170544|1316051|Q,N
20250919|ADEA|60754|144|124600|B,Q,N
20250919|ADFI|2252|0|9986|Q
20250919|ADGM|40321|3243|117334|B,Q,N
20250919|ADI|437173|0|832917|B,Q,N
20250919|ADIL|133856|0|242084|B,Q,N
20250919|ADIV|976|0|8215|Q
20250919|ADM|627972|55|1087690|B,Q,N
20250919|ADMA|554413|737|1447505|B,Q,N
20250919|ADME|2058|0|3187|Q,N
20250919|ADN|19967|100|59907|Q,N
20250919|ADNT|200570|0|312748|Q,N
20250919|ADNWW|430|0|2432|Q
20250919|ADP|348062|83|684012|B,Q,N
20250919|ADPT|183543|565|678196|B,Q,N
20250919|ADPV|15244|0|16076|B,Q
20250919|ADSE|24850|131|63083|B,Q,N
20250919|ADSEW|2512|0|2612|Q
20250919|ADSK|144703|1|527598|B,Q,N
20250919|ADT|1555054|0|3341585|B,Q,N
20250919|ADTN|493806|0|896662|B,Q,N
20250919|ADTX|21334|444|58813|Q,N
20250919|ADUR|105282|240|156233|B,Q,N
20250919|ADUS|68734|0|74742|Q,N
20250919|ADV|82086|198|314964|Q,N
20250919|ADVB|52543|4504|428588|B,Q
20250919|ADVE|3684|0|3688|Q
20250919|ADVM|200351|100|336480|B,Q,N
20250919|ADVWW|236|0|839|Q
20250919|ADX|68379|0|223992|B,Q,N
20250919|ADXN|317|1|1653|B,Q,N
20250919|AEBI|43477|0|196483|Q,N
20250919|AEC|23511|3952|31715|B,Q,N
20250919|AEE|160956|0|285078|B,Q,N
20250919|AEF|14984|69|89330|B,Q,N
20250919|AEFC|2424|0|17841|Q
20250919|AEG|781233|8369|1559018|B,Q,N
20250919|AEHL|38593|2|82132|Q,N
20250919|AEHR|315359|0|700000|B,Q,N
20250919|AEI|73514|3670|246263|B,Q,N
20250919|AEIS|242144|9|310509|B,Q,N
20250919|AEM|1062032|334|1558268|B,Q,N
20250919|AEMD|93456|0|210092|Q,N
20250919|AEMS|18061|0|29515|Q
20250919|AENT|6519|0|16584|B,Q,N
20250919|AENTW|200|0|500|Q
20250919|AEO|2055524|1100|3745690|B,Q,N
20250919|AEON|6408|1862|38793|Q,N
20250919|AEP|498581|300|971487|B,Q,N
20250919|AER|108198|326|307235|B,Q,N
20250919|AERT|461204|62029|1152474|B,Q,N
20250919|AERTW|3790|3768|7890|B,Q
20250919|AES|1065128|2659|2889765|B,Q,N
20250919|AESI|352011|79|575319|B,Q,N
20250919|AESR|5666|0|19859|Q
20250919|AETH|1579|0|2279|Q,N
20250919|AEVA|899129|4345|2300848|B,Q,N
20250919|AEVAW|3173|1518|6060|Q
20250919|AEYE|18284|36|55463|Q,N
20250919|AFB|4225|0|29123|Q
20250919|AFBI|21|0|67|Q
20250919|AFCG|124120|51|174224|B,Q,N
20250919|AFG|88387|0|114230|Q,N
20250919|AFGB|1868|0|4545|Q
20250919|AFGC|1561|0|3631|Q,N
20250919|AFGD|578|20|1963|Q
20250919|AFGE|1570|0|26869|Q
20250919|AFIF|600|0|28021|Q
20250919|AFJKR|3000|1000|6340|Q
20250919|AFK|5501|0|8695|B,Q,N
20250919|AFL|309681|23|599320|B,Q,N
20250919|AFLG|83923|0|89491|Q,N
20250919|AFMC|1847|0|5746|Q
20250919|AFOS|121|0|204|Q
20250919|AFRI|2279|0|4402|Q
20250919|AFRM|1598405|11501|2750993|B,Q,N
20250919|AFRU|1354|0|1781|Q,N
20250919|AFSC|7|0|172|Q
20250919|AFSM|1117|0|1905|Q
20250919|AFYA|4558|0|10939|Q,N
20250919|AG|5315315|4439|12538936|B,Q,N
20250919|AGAE|55845|6824|151302|B,Q,N
20250919|AGCO|225930|0|332373|B,Q,N
20250919|AGD|29453|0|83881|B,Q,N
20250919|AGEM|175|0|489|Q
20250919|AGEN|102864|1106|222017|Q,N
20250919|AGG|1935870|3918|3585477|B,Q,N
20250919|AGGA|434|0|2969|Q
20250919|AGGH|18407|0|70495|Q
20250919|AGGS|326|0|438|Q
20250919|AGGY|20746|0|89304|B,Q,N
20250919|AGH|50286|0|241202|B,Q,N
20250919|AGI|899999|1|1503875|B,Q,N
20250919|AGIO|66908|0|122346|B,Q,N
20250919|AGIQ|13862|0|18165|Q,N
20250919|AGIX|101841|0|112874|B,Q,N
20250919|AGL|932018|0|2621671|B,Q,N
20250919|AGM|11831|0|34765|B,Q,N
20250919|AGM/A|407|0|707|Q,N
20250919|AGMH|45435435|459939|82506953|B,Q,N
20250919|AGMI|924|0|1397|B,Q
20250919|AGMpD|2016|0|2021|Q
20250919|AGMpE|42|0|43|Q
20250919|AGMpF|1437|0|2757|Q
20250919|AGMpG|1000|0|6769|Q
20250919|AGMpH|2697|0|3011|Q
20250919|AGNC|6600998|22047|12623708|B,Q,N
20250919|AGNCL|117|99|3378|Q
20250919|AGNCM|4066|0|5336|Q
20250919|AGNCN|5901|0|13163|B,Q
20250919|AGNCO|5000|0|13574|Q,N
20250919|AGNCP|9109|0|10764|Q,N
20250919|AGNCZ|19139|0|76761|Q,N
20250919|AGNG|3565|0|4305|Q,N
20250919|AGO|117973|23|148124|Q,N
20250919|AGOX|9836|0|15788|Q
20250919|AGQ|643746|1127|1000018|B,Q,N
20250919|AGRI|4970|0|17269|B,Q
20250919|AGRO|85398|0|139425|B,Q,N
20250919|AGRW|1|0|252|Q
20250919|AGX|105547|0|174221|B,Q,N
20250919|AGYS|39382|0|54285|Q,N
20250919|AGZ|1160|0|22929|Q
20250919|AGZD|522|0|2101|Q
20250919|AHCO|173514|15|342110|B,Q,N
20250919|AHG|1507|640|3124|Q,N
20250919|AHH|94525|20|153190|B,Q,N
20250919|AHHpA|447|0|1585|B,Q
20250919|AHL|47942|0|124727|Q,N
20250919|AHLpD|2373|200|3061|Q
20250919|AHLpE|635|0|1867|Q
20250919|AHLpF|1428|0|5804|Q
20250919|AHLT|34|0|193|Q
20250919|AHR|472986|0|742426|B,Q,N
20250919|AHT|2254|0|23232|Q
20250919|AHTpF|900|0|901|Q
20250919|AHTpG|101|0|103|Q
